rank,tier,name,section,views_3mo,wikipedia_title,flag
1558,C,Steven Gerrard,SOCCER,296376,Steven Gerrard,
1559,C,Nadia Comăneci,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",145588,Nadia Comăneci,
1560,C,Philip K. Dick,WRITERS & PHILOSOPHERS,218218,Philip K. Dick,
1561,C,John Ritter,CLASSIC HOLLYWOOD,402125,John Ritter,
1562,C,Jimmy Carr,COMEDIANS,262219,Jimmy Carr,
1563,C,Dirk Nowitzki,BASKETBALL,170602,Dirk Nowitzki,
1564,C,Alfred Nobel,"SCIENTISTS, INVENTORS & THINKERS",96640,Alfred Nobel,
1565,C,Sting,ROCK & POP LEGENDS,389598,Sting (musician),
1566,C,Zack Snyder,FILM DIRECTORS,229677,Zack Snyder,
1567,C,Marisa Tomei,MODERN ACTORS,948881,Marisa Tomei,
1568,C,Tony Robbins,TECH & BUSINESS,163113,Tony Robbins,
1569,C,Usher,MODERN POP,301266,Usher (musician),
1570,C,Dan Marino,AMERICAN FOOTBALL,85099,Dan Marino,
1571,C,Santa Anna,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",103276,Antonio López de Santa Anna,
1572,C,Bob Hawke,WORLD LEADERS (HISTORICAL),41651,Bob Hawke,
1573,C,Oliver Kahn,SOCCER,246855,Oliver Kahn,
1574,C,Neeraj Chopra,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",128001,Neeraj Chopra,
1575,C,Kurt Vonnegut,WRITERS & PHILOSOPHERS,216194,Kurt Vonnegut,
1576,C,Jeff Bridges,CLASSIC HOLLYWOOD,397500,Jeff Bridges,
1577,C,Simon Pegg,COMEDIANS,259659,Simon Pegg,
1578,C,Julius Erving,BASKETBALL,161025,Julius Erving,
1579,C,Rosalind Franklin,"SCIENTISTS, INVENTORS & THINKERS",93481,Rosalind Franklin,
1580,C,Tom Petty,ROCK & POP LEGENDS,368497,Tom Petty,
1581,C,Greta Gerwig,FILM DIRECTORS,224750,Greta Gerwig,
1582,C,Meryl Streep,MODERN ACTORS,910246,Meryl Streep,
1583,C,Jack Ma,TECH & BUSINESS,137091,Jack Ma,
