rank,name,section,views_3mo,wikipedia_title,flag
986,Andrew Ng,AI & MACHINE LEARNING,57294,Andrew Ng,
987,Momotaro,FICTIONAL & FOLKLORE (public domain only) / Myth,34941,Momotarō,
988,Quasimodo,FICTIONAL & FOLKLORE (public domain only) / Literature,55973,Quasimodo,
989,Archimedes,ANCIENT & CLASSICAL,145243,Archimedes,
990,Miyamoto Musashi,"MEDIEVAL, RENAISSANCE & EARLY MODERN RULERS AND WARRIORS",230049,Miyamoto Musashi,
991,Buffalo Bill,"EXPLORERS, PIRATES, WILD WEST & OUTLAWS",112541,Buffalo Bill,
992,Michelle Obama,US PRESIDENTS & POLITICIANS,342597,Michelle Obama,
993,Otto von Bismarck,WORLD LEADERS (HISTORICAL),223990,Otto von Bismarck,
994,Tim Berners-Lee,"SCIENTISTS, INVENTORS & THINKERS",165662,Tim Berners-Lee,
995,Ray Kroc,TECH & BUSINESS,224215,Ray Kroc,
996,Hokusai,"ARTISTS, ARCHITECTS & PHOTOGRAPHERS",69909,Hokusai,
997,Truman Capote,WRITERS & PHILOSOPHERS,244494,Truman Capote,
998,Johannes Brahms,"COMPOSERS, CLASSICAL & STAGE",65784,Johannes Brahms,
999,David Cronenberg,FILM DIRECTORS,286534,David Cronenberg,
1000,Patrick Stewart,CLASSIC HOLLYWOOD,510782,Patrick Stewart,
1001,Dwayne The Rock Johnson,MODERN ACTORS,1010582,Dwayne Johnson,
1002,Jonah Hill,COMEDIANS,372304,Jonah Hill,
1003,Bob Barker,"TV HOSTS, CHEFS, MAGICIANS & PERSONALITIES",191449,Bob Barker,
1004,Billy Joel,ROCK & POP LEGENDS,571947,Billy Joel,
1005,Post Malone,MODERN POP,398482,Post Malone,
1006,Kid Cudi,HIP-HOP & R&B,203070,Kid Cudi,
1007,Gregg Popovich,BASKETBALL,252026,Gregg Popovich,
1008,Jerry Rice,AMERICAN FOOTBALL,114079,Jerry Rice,
1009,Mario Balotelli,SOCCER,408024,Mario Balotelli,
1010,Macho Man Randy Savage,"BOXING, MMA, WRESTLING & STRENGTH",216010,Randy Savage,
1011,Billie Jean King,"OLYMPICS, TENNIS, GOLF, MOTORSPORT & MORE",257746,Billie Jean King,
